Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
kantu,border; edge; bank (shore),s.,extremo; límite o extremo de una superficie; borde; punta; margen; canto; zona marginal,kantu,kantu,thiya
kantumanta,completely; until last; from head to foot,adv.m.,totalmente; hasta que es pasado; de pista a pie,,,
kantunqa,braid with core,s.(tex),trenza con núcleo,kantunqa,kantunqa,
kantu runa,foreigner,s.,forastero; gente de afuera,,,yaqha jaqi; jani uñt'ata
kantuta,a bush having red or yellow flowers that are considered as the Peruvian national flowers,s.(bot),cántua; un arbusto de flores rojas o amarillas; flor sagrada de los incas; declarada flor nacional boliviana,qantuta,qantuta,
kanuwa,canoe,s.,canoa,,,
kanuwa hamp'atu p'anqa,kind of medicinal plant of the Ecuwadorian jungle,s.(bot),canoa jambatu panga; especie de planta medicinal de la selva ecuwatoriana,,,
kanuwa ruya,cedar; kind of plant of the jungle (main use: construction),s.(bot),cedro; especie de planta de la selva (uso principal: construcción),,,
kaña,campfire,s.,fogata,,,
kaña,earthen pan; pot for toasting; earthenware; pottery of fired clay,s.(cer),tostador; tiesto; olla cerámica,,,
kañachiy,to burn,v.tr.,quemar; calentar demasiado; requemar; volverlo candente,,,
kañaku,fire,s.,fuego,,,
kañakuy,to make fire,v.intr.,hacer fuego,,,
kañalla,earthen pan; pot for toasting; earthenware; pottery of fired clay,s.(cer),tostador; tiesto; olla cerámica; pedazo de cualquier vasija de barro,,,
kañanay,incandescence,s.,incandescencia,,,
kañapa,land burnt down and cleared (for pasture),s.(agr),terreno que ha sido quemado y limpiado (para pasto),,,
kañapay,to burn a piece of land (for pasture),v.tr.(agr),quemar un terreno (para pasto),,,
kañaq,burner,adj.,el que quema o hace fogata; incandescente; candente; abrasador; incendiario; incinerador,kanaq,kanaq,
Kañar,town and province in Ecuador (named after the Cañari people); (Span.) Cañar,s.(top),ciudad y provincia en Ecuador (nombrado por los Cañaris); (esp.) Cañar,,,
Kañari,"ancient people in present Ecuador (Cañaris), enemies of the Inkas, conquered by Tupaq Yupanki; local Quechua variety in Cañaris (Ecuador); also the Quechua varieties spoken in Cajamarca and Ferreñafe (Peru), which belong to another main dialect of Quechua",s.(tri),"pueblo antiguo en que es actualmente Ecuador (Cañaris), enemigos de los Inkas, conquistados por Tupaq Yupanki; variante quichua local en Cañaris (Ecuador); también las variantes quechuas habladas en Cajamarca y Ferreñafe (Perú), que pertenecen a un otro dialecto principal de quechua; cañari",Kañari,Kañari,
Kañaris,Quechua-speaking town and district in the Department of Lambayeque (Peru); (Span.) Cañaris,s.(top),pueblo y distrito quechuahablante en el departamento de Lambayeque (Perú); (esp.) Cañaris,,,
kañasu,brandy,s.(mik),aguardiende,,,
kañawiral,reed; reedy area,s.(esp),cañaveral,,,
kañay,to light; to set fire to; to burn; to burn up; to burn; to make a flame,v.tr.,encender; quemar; hacer fogata; incendiar; atizar el fuego; poner fuego; atizar; incinerar,kanay; k'anay; kañay,kanay; k'anay; kañay,
kañay,to warm up again,v.tr.,recalentar; requemar,kañay; k'anay,kañay; k'anay,
kañiku,pay,s.,paga,,,
kañikuq,payable,adj.,pagadero,,,
kañiy,to pay,v.tr.,pagar,,,
kañu,canal (used for gold mining); placer mine,s.(esp),canal (en minería de oro),kañu,kañu,
kapa,jaw,s.,quijada,,,tiranqa; tiranqaya
kapa,cape; cloak,s.(tex),capa,,,qhapa
kapa,wing,s.(zoo.ana),ala,,,
kapas,perhaps; maybe,adv.m.,quizás,,,
kapasqa,castrated,p.p.p.(esp),capado; castrado,,,karata
kapaw,castrated,adj.(esp),capado; castrado,,,
kapay,to possess; to have,v.pron.,poseer; tener,,,
kapay,to castrate,v.tr.(esp),capar; castrar,,,
kapchi,half-baked,adj.,medio cocido,,,
kapchi,snotty-nosed kid,s.(esp),cabrito,,,
kapchiq,aesthetic,adj.(ass),estético,,,
kapchisqa,artificial,adj.(ass),artificial,,,
kapchiy,art,s.(ass),arte,,,
kapila,butterfly,s.(zoo),mariposa,,,
kapin kay,to be the beginning of a lineage or another founded thing,v.intr.,ser principio de linaje o de otra cosa fundada,kapin kay,kapin kay,
kapirispa willay,to call out; to exclaim; to proclaim,v.tr.,pregonar,,,
kapis,goat,s.(zoo)(esp),cabra; chivo,,,
kapisayu,"enlarged, entire poncho (in Kitukara)",s.(tex),poncho alargado y entero (en Kitukara),,,
kapitulu,chapter,s.(esp),capítulo,,,
kapiwara,capybara,s.(zoo),capibara,,,
kapiyay,to fight a bull fight,v.intr.,torear,,,
kapka,hard,adj.,duro,,,
kapllu,fibre,s.,brizna; fibra,,,
kapnu sinqa,bumped nose,s.,nariz abollada,kapnu sinqa,kapnu senqa,
kaptin; kaptu,warp pickup technique,s.(tex),técnica de coger la urdimbre,,,
kaptuy,to tear a thread with the teeth; to eat by small pieces,v.tr.,romper un hilo con los dientes; comer por pedacitos,,,
kapuchu; kapachu,"kapuchu (kind of wild plant, an illa of oca)",s.(bot),"capuchu, capachu (especie de planta, una illa de la oca)",,,
kapuhay,to assault; to attack; to storm,v.tr.,asaltar; asaltar con agilidad y violencia,,,
kapuli,black cherry; capuli cherry; kind of tree of the Andes,s.(bot)(esp<naw)(1),"cereza capulí; una especie de cereza; árbol o sáceo de los andes; capulí; cerezo andino (árbol de frutos redondos, negros y dulces)",kapuli,kapuli,
kapuli,goldenberry; peruvian gooseberry; cape gooseberry,s.(bot)(esp<naw)(2),"aguaymanto; capulí amarillo; un arbusto de fruto amarillo semejante a la cereza, menos dulce y de tamaño más grande",kapuli,kapuli,
kapun,castrated animal,s.(esp),capón; animal capado,,,
kapupuy,profits; output,s.(ass),renta,,,
kapuq,product,s.,producto,,,
kapuqninkuna,wealth,s.,riqueza,,,
kapuqniyuq,rich,s.p.,rico; con pertenencias; el que tiene bienes,,,
kapuy,wealth; goods,s.,bienes,,,qamanaka
kapuy,to belong; to have (lit. to belong); to be (health),v.pron.,ser de; pertenecer; tener todo (lit. ser de); tener (lit. ser de); tener (ser de: este verbo se usa sólo en forma pronominal); poseer (lit. ser de); estar (salud),kapuy,kapuy,
kapuy (-paq),to belong (to),v.pron.,ser (de); pertenecer,kapuy (-paq),kapuy (-paq),
kapuynin,properties,s.pr.,propiedades,,,yapa
kapuyniyuq,rich,s.p.,rico,,,
kapya,sweet-filled maize fritter,s.,alfajor de harina de maíz relleno con dulce (valles calchaquíes),,,
kaq,being; the one who is; normal; usual,adj.,el que es; ella que es; normal; habitual; el es; ella es,,,
kaq,the,art.def.(postpos.),el; la,,,
kaq,-th; [ordinal number],postpos.,[Número ordinal],kaq,kaq,
kaq,resource,s.,recurso,,,utjiri
kaqchika,the remainder,s.,el resto,,,
kaqchiy,definition,s.,definición,,,
kaq chhika,all those who are present,pron.indef.,todos los que están presentes,,,
kaqch'a,blinded or stupefied by a brilliant light; in mystical terms this light usually refers to the light or living energy of anothers' soul,adj.,deslumbrado o aturdido por luz brillante,kaqch'a,kaqch'a,
kaqi kamayuq,financier,s.,"financiero,a; financista,a",,,
kaqimanta,partition,s.,particion,,,
kaqiri,capitalist,s.,capitalista,,,
kaqita wiñachiy,to earn; to win; to gain,v.tr.,ganar,,,
kaqiyuq,capitalist,s.p.,capitalista; hacendado; propietario,kaqiyuq,kaqeyoq,
kaqka,foolish; stupid; headless; reckless; thoughtless; torpid,adj.,tonto; aturdido,,,luqhi
kaqkakuy,to be surprised,v.intr.,aturdirse; atontarse,,,luqhiptaña
kaq kikin,original,adj.,original,kaq kikin,kaq kikin,
kaqlla,equal; identical,adv.m.,igual; homogéneo; idéntico,kaqlla,kaqlla,
kaqlla simi,synonym,s.,sinónimo,kaqlla simi,kaqlla simi,
kaqllataq,likewise,adv.m.,asimismo; igualmente,kaqllataq,kaqllataq,
kaqninkuna,essential qualities; main properties; elements (of something); constituents,s.,atributos esenciales; elementos (de algo),kaqninkuna,kaqninkuna,
kaqniyuq,rich; wealthy,s.p.,poseedor; rico; adinerado; hacendado; propietario,kaqniyuq,kaqniyoq,
kaqrikuchiy,to describe,v.tr.,describir,,,
kaqta rikuchiq,physical (structure),adj.,físico (estructura),,,
kaq willay,certificate,s.,certificado,,,
kara,face,s.(ana)(esp),cara; rostro,,,
kara,the only tree of the puna,s.(bot),el único árbol de la puna,,,
karan,each,adj.,cada,,,
karan laya,all kinds of,adj.,todas las clases de,,,
karan laya paju,"curative paju (lit. of any kind) fundamentally used for healings and cleanings of the person's body (including shikshi paju, wayra paju, supay rikushka, and malagre)",s.(spi),"paju curativo (lit. de todas clases) que son fundamentalmente utilizados para las curaciones y limpiezas en el cuerpo de las personas (se incluyen el shicshi paju, el huayra paju, el supay ricushca y el malagre)",,,
Karaqu!,Damn!; Blast!; damn! (expression of disgust),interj.(esp),¡Carajo!,,,
kara urqun,cheek-bone,s.(ana)(esp),pómulo,,,
karayni,attitude,s.,actitud,,,kankaña; lurawi
karbun,carbon; coal; charcoal,s.(esp),carbón,,,
karchay,to harvest corn or beans cutting the stalk,v.tr.,"cosechar maíz, habas, cortando el tallo",,,
Karchi,province in Ecuador; (Span.) Carchi,s.(top),provincia en Ecuador; (esp.) Carchi,,,
karga,load,s.(esp),carga,,,khumu
karguyuq,someone assigned to organize festivity; person who holds cargo,s.p.(pol)(p.esp),encargado de organizar una fiesta,karguyuq,karguyoq,
kari,light brown (horse),adj.,overo,,,
kari!,take!,interj.,toma!,,,
karikuy,to live in a light-hearted way,v.intr.,vivir con el corazón ligero,,,
kariy,to be tired,v.intr.,estar cansado,kariy; qariy,kariy; qariy,
karka,skeleton; death,s.,esqueleto; muerte; alegoría de la muerte; osamenta,karka,karka,
karka,pallay motif in weaving (skeleton or death),s.(tex),motivo pallay en tejidos (significado: esqueleto o muerte),,,
karkanka,skeleton,s.(ana),esqueleto,,,
karkay,vertebrate,s.(zoo)(neo),vertebrado,,,
karmay,to pile up; to stack,v.tr.,apilar; hacinar,karmay,karmay,
Karnawal,Carnival,s.(cal)(esp),Carnaval,,,
karpa,tent; awning; sun roof; tent,s.,carpa; tienda de campaña; toldo; corredor,karpa,karpa,karpa
karpawasi,tent; awning; sun roof,s.,carpa; tienda de campaña; toldo; corredor,,,saraqa
karpay,initiation; transmission,s.,iniciación; transmisión,karpay,karpay,
karpay,to initiatiate; to transmit,v.tr.,iniciar; transmitir,karpay,karpay,
karpay ayni,exchange of spiritual power,s.(spi),intercambio de poder espiritual,karpay ayni,karpay ayni,
karpintiru,carpenter,s.(esp),carpintero,,,
karpita,folder,s.(esp),carpeta,,,karpita
karqan,was; he was; she was; it was,f.v.aux.,era; estaba; había,karqan,karqan,
karqani,I was,f.v.aux.,era (yo); estaba (yo),karqani,karqani,
karqanki,you were,f.v.aux.,eras; estabas,karqanki,karqanki,
karqimpa,wedge,s.,cuña,,,chillpi
karqimpay,to set a wedge,v.tr.,colocar cuña,,,chillpiña
karqusqa,event; occurrence,s.,suceso,,,lurawi
karquy,event; occurrence,s.,suceso,,,lurawi
karru,car; automobile,s.(esp),coche; carro; automóvil,,,
karsi,jail; prison,s.(esp),cárcel,,,
karta,card; letter,s.(esp),carta,,,
kartas,cards to play,s.(esp),cartas (para jugar),,,
kartay,to write a letter; to send a letter,v.tr.(esp),enviar (una carta); escribir cartas; escribir una carta,,,
kartil,poster,s.(esp),cartel,,,laphilla; qillqa saywa
kartisyanu kutinchi,Cartesian product,s.(mat),producto cartesiano,,,
karu,distant; far; far away; expensive; fear; distant; long; extensive; far (away),adj.,distante; lejano; lejos; lejos; lejano; muy apartado; extenso,karu,karu,jaya
karu,expensive,adj.(esp),caro,,,
karu,far; distant,adv.l.,lejos; distante; lejano,karu,karu,jaya
karuchakuy,to move oneself away,v.intr.,alejarse,,,jayachasiña
karuchay,to move something away,v.tr.,mover lejos,,,
karukay,distance,s.,distancia,,,jaya
karu kay,to be distant,v.intr.,distar,,,
karu kaynin,distance,s.pr.,distancia,,,
karulla ayllukuna,in-laws,s.,parientes políticos,,,
karullapi,at a distance,adv.l.,a distancia,,,
karu llaqtamanta,international,adj.(ass),internacional,,,
karu llaqtamanta runa,stranger; foreigner,s.,desconocido; forastero,,,
karuman,far away (direction),adv.l.,hacia lejos,,,
karuman rina,travel,s.,viaje,,,
karumanta rikuna,television,s.(neo),televisión,karumanta rikuna,karumanta rikuna,
karuna,cloth put on burro's back for protection,s.,trapo sobre la espalda del burro para protectar,,,
karuncha,deviation,s.,desviación; alejamiento,,,
karunchachiy,to make move away,v.tr.,hacer alejar a uno muy lejos; desunir; desviar,,,
karunchakapuy,to abandon; to leave,v.tr.,abandonar; desamparar; dejar,karunchakapuy,karunchakapuy,
karunchakuy,to go away; to leave,v.intr.,alejarse; aislarse,karunchakuy,karunchakuy,jayst'aña
karunchakuy,to differ; to be different,v.intr.(ass),diferenciarse,,,mayjt'aña
karunchay,discrimination,s.(ass),discriminación,,,¡isk'achawi
karunchay,to take away; to remove; to leave something; to go far away from; to withdraw,v.tr.,alejar; aislar; alejar; alejarse; distanciar,karunchay,karunchay,jayachaña
karunchay,to distinguish,v.tr.(ass),diferenciar; discriminar; rechazar,karunchay,karunchay,mayjt'ayaña
karunchay,to discriminate against,v.tr.(pol),discriminar,,,jisk'achaña
karunchaykuy,to separate (oneself),v.intr.,distanciarse; separar,karunchaykuy,karunchaykuy,
karunsi,common piping guan; kind of bird,s.(zoo)(amz),yacutingá de cara azul; carunsi; especie de ave,,,
karupi,at a distance,adv.l.,a distancia,,,
karupi tiyaq,far away,adj.,lejano,,,
karupi tiyay,to be distant,v.intr.,distar,,,
karu qillqa,telegram,s.(neo),telegrama,,,jisk'apta iwxa
karu qhawana,television set,s.(neo),televisor; televisión,karuqhawana,karuqhawana,
karu rimana,telephone,s.(neo),teléfono,,,jayata parlaña
karu runa,foreign; stranger,adj.,forastero; hombre forastero de lejos venido; advenedizo en el pueblo,karu runa,karu runa,jaya jaqi
karuta,far away (direction),adv.l.,lejos (dirección),,,
karu unay,distant,adv.l.,distante,,,
karuwillay,telegram,s.(neo),telegrama,,,
karuy,to dig; to excavate,v.tr.,excavar,,,
karuyachiy,to take away; to remove,v.tr.,alejar; distanciar; aislar; apartar,,,
karuyari,telephone,s.(neo),teléfono,,,
karuyay,to go away; to leave; to go far from; to go far away,v.intr.,alejarse; distanciarse; alejarse de; tornarse lejos,,,
karuymanta,far,adj.,lejos,,,
karuynin,distance,s.pr.,distancia,,,
karwa,money,s.,dinero,,,
karwa,drizzle,s.(met),llovizna,,,
kasa,unknown kind of bird (in the tales of Waruchiri),s.(zoo),especie de pájaro ya no conocida (en los cuentos de Huarochirí),,,
kasachidur,hunter,s.(esp),cazador,,,
kasachiq,locksmith,s.,cerrajero; persona que logra hacer cuadrar una llave con una cerradura,,,
kasachiy,to make a key fit a lock,v.tr.,lograr que una llave cuadre a una cerradura,,,
kasachiy,to hunt,v.tr.(esp),cazar,,,
kasa-kasa,drunk,adj.,mareado; ebrio,,,
kasaraku,wedding,s.(esp),casamiento,,,
kasarakunqaña kay sipascha,this young girl is already old enough to marry,expr.,esta jovencita ya está casadera,kasarakunqaña kay sipascha,kasarakunqaña kay sipascha,
kasarakuy,wedding; marriage; marriage; wedding,s.(esp),boda; casamiento; matrimonio,kasarakuy,kasarakuy,
kasarakuy,to marry; to get married,v.intr.(esp),casarse; contraer matrimonio; desposar,kasarakuy,kasarakuy,kasarasiña; jaqichasiña
kasaray,to marry; to get married,v.tr.(esp),casarse,,,
kasaray pacha,puberty,s.,pubertad,,,
kasay,to fit (key and lock),v.intr.,cuadrar una llave con una cerradura,,,
kasilliru,locker,s.(esp),casillero,,,
kasinu,card game,s.(esp),juego de naipes; juego de cartas,,,
kasira,seller of what is usually sold (woman); host (woman),s.(esp),vendedora de la que se compra habitualmente; casera,,,
kasiru,customer; buyer,s.(esp),casero,,,
kasitu,frying pan,s.,sartén,,,
kaska,more,adv.m.,más,,,
kaskachina,glue,s.,pegamento,,,lip'iyaña
kaskawil,rattle snake; fer-de-lance; kind of snake,s.(zoo)(esp),serpiente de cascabel; especie de serpiente,,,
kaskiy,to lie; to tell someone lies,v.tr.,mentir; engañar; falsear; engañar con mentiras,..llullay,..llullay,
kaspa,corn cob,s.,mazorca,,,
kaspayay,to mature (corn),v.impers.,madurar el maíz,,,
kasqa,been; what used to be,p.p.p.,sido; que era; que estaba,,,
kasqan,behavior; behaviour; conduct; structure,s.pr.,comportamiento; estructura,,,kankaña; llika thakhi
kasqan chaniyuq,equivalent,adj.,equivalente; de igual valor,kasqan chaniyuq,kasqan chaniyoq,
kasqanniqmanta suchuchiy,to displace,v.tr.,desplazar,,,
kasqa yupay,natural number,s.(mat),números naturales,,,jakhunaka
kasta,family; clan,s.(esp),casta; familia; parentesco,,,
kastaña,"para nut; brazil nut; kind of crop plant, main uses: food source, oil",s.(bot)(esp),"nuez de pará; castaña amazónica; especie de planta cultiva, usos principales: alimento humano, aceite",,,
kastigay,to punish,v.tr.(esp),castigar,,,
kastilla,Spanish,s.(esp),castellano; español (lengua); lengua castellana; idioma castellano,,,
Kastilla,Castilia,s.(top)(esp),Castilla,,,
Kastilla atiy,Conquista (conquest by the Spaniards),s.(his)(p.esp),Conquista española,,,
kastillanu,Spanish,adj.(esp)(tri),castellano; español (lengua),,,
kastilla simi,Spanish,s.(esp),castellano; español (lengua); lengua castellana; idioma castellano,,,
kastilla wiru,sugar cane,s.(bot),caña dulce,kastilla wiru,kastilla wiru,
kasu,skinny,adj.,delgado en las personas; flaco (persona flaca),,,
kasukuq,obedient,s.a.(esp),obediente,kasukuq,kasukuq,
kasukuy,to obey,v.tr.(esp),obedecer,kasukuy,kasukuy,
kasuq,armpit,s.(ana),axila; sobaco,,,
kasururay,to obey,v.tr.(esp),obedecer,,,
kasuy,to obey; to submit to; to pay attention to,v.tr.(esp),obedecer; oír (hacer caso); hacer caso; hacerle caso a alguien,kasuy,kasuy,yupaychaña; yupayuchaña
kasuyay,to become thinner,v.intr.,adelgazarse; enflaquecer; ponerse flaco,,,
kasha,spine; thorn; thorn bush,s.,espina; púa; planta espinosa; zarza,..kiska,..kiska,
kasha-kasha,thorny; spiny,adj.,espinoso,,,
kasha k'aspi,kind of medicinal plant of the jungle,s.(bot),cashacaspi; especie de planta medicinal de la selva,,,
kasha lupuna,kapok tree,s.(bot),lupuna; casha lupuna; ceiba; ceibo; árbol de la familia de las papilonáceas,,,
Kashamarka,"departmental city in Peru; (Span.) Cajamarca (<land of thorns - cf. Qasamarka, cold land), (hist.) Caxamarca, Caxamalca [x=sh]",s.(top),"ciudad departamental en Perú; (esp.) Cajamarca (<tierra de espinas - cf. Qasamarka, tierra fría), (hist.) Caxamarca, Caxamalca [x=sh]",,,
